port,latitude,longitude,mmsis_in_port,port_cluster
0_9,57.32142450367038,11.12708009960003,220046000,22
0_9,57.32142450367038,11.12708009960003,219006219,22
0_9,57.32142450367038,11.12708009960003,220323000,22
0_9,57.32142450367038,11.12708009960003,219006113,22
0_9,57.32142450367038,11.12708009960003,220341000,22
0_9,57.32142450367038,11.12708009960003,220349000,22
0_9,57.32142450367038,11.12708009960003,220072000,22
0_9,57.32142450367038,11.12708009960003,219001553,22
25_0,54.31716307184346,10.138208078879666,218039370,23
25_0,54.31716307184346,10.138208078879666,211399920,23
25_0,54.31716307184346,10.138208078879666,266331000,23
25_0,54.31716307184346,10.138208078879666,211399000,23
0_1,54.852186002950866,10.523357643903209,219017382,24
0_1,54.852186002950866,10.523357643903209,219022362,24
0_1,54.852186002950866,10.523357643903209,219031752,24
0_1,54.852186002950866,10.523357643903209,219531000,24
0_1,54.852186002950866,10.523357643903209,219026197,24
32_0,54.37304588565883,10.98987124610966,211212690,25
32_0,54.37304588565883,10.98987124610966,211264670,25
32_0,54.37304588565883,10.98987124610966,211477060,25
32_0,54.37304588565883,10.98987124610966,218037430,25
32_0,54.37304588565883,10.98987124610966,211226940,25
20_0,54.164424004043056,12.09505896380695,211230570,26
20_0,54.164424004043056,12.09505896380695,211216500,26
20_0,54.164424004043056,12.09505896380695,211216490,26
38_5,55.93940000568243,12.527033332874712,219008234,27
38_5,55.93940000568243,12.527033332874712,219007862,27
38_5,55.93940000568243,12.527033332874712,219015336,27
27_3,55.422961513329824,10.38160593497184,219024597,28
27_3,55.422961513329824,10.38160593497184,248221000,28
27_3,55.422961513329824,10.38160593497184,236111791,28
27_3,55.422961513329824,10.38160593497184,219011491,28
28_4,55.638663298409675,12.653669365664685,219028120,19
28_4,55.638663298409675,12.653669365664685,219016692,19
28_4,55.638663298409675,12.653669365664685,219027249,19
28_4,55.638663298409675,12.653669365664685,219013524,19
28_4,55.638663298409675,12.653669365664685,219028501,19
28_4,55.638663298409675,12.653669365664685,219022668,19
28_4,55.638663298409675,12.653669365664685,219030094,19
17_3,55.308605008948824,10.792107630145146,219025891,8
17_3,55.308605008948824,10.792107630145146,356388000,8
17_3,55.308605008948824,10.792107630145146,371830000,8
31_5,55.859600680852566,12.84673026112881,265591210,29
31_5,55.859600680852566,12.84673026112881,265060520,29
31_5,55.859600680852566,12.84673026112881,218800000,29
31_5,55.859600680852566,12.84673026112881,265701610,29
3_10,57.598438740603235,11.791915054058649,219340000,30
3_10,57.598438740603235,11.791915054058649,219330000,30
3_10,57.598438740603235,11.791915054058649,266458000,30
3_10,57.598438740603235,11.791915054058649,265607090,30
3_10,57.598438740603235,11.791915054058649,265509950,30
3_10,57.598438740603235,11.791915054058649,265547210,30
3_10,57.598438740603235,11.791915054058649,265650970,30
7_6,56.04221757229861,12.613267284442411,219001214,31
7_6,56.04221757229861,12.613267284442411,219019621,31
7_6,56.04221757229861,12.613267284442411,219005904,31
7_6,56.04221757229861,12.613267284442411,219030580,31
7_6,56.04221757229861,12.613267284442411,219025821,31
7_6,56.04221757229861,12.613267284442411,219018733,31
7_6,56.04221757229861,12.613267284442411,219025067,31
36_1,55.09444975795602,10.237739258023918,219000733,32
36_1,55.09444975795602,10.237739258023918,219016906,32
36_1,55.09444975795602,10.237739258023918,219029904,32
36_1,55.09444975795602,10.237739258023918,219024281,32
36_1,55.09444975795602,10.237739258023918,219000188,32
36_1,55.09444975795602,10.237739258023918,219004145,32
36_1,55.09444975795602,10.237739258023918,219022614,32
36_1,55.09444975795602,10.237739258023918,219032635,32
